onset	duration	trial_type	correct
0.0242	20	3	0
20.0046	2	2	0
25.0042	2	2	1
32.0042	2	2	1
39.0042	2	2	1
45.0042	2	2	0
57.0042	2	2	1
62.0041	2	2	0
66.0041	2	2	0
70.0041	2	2	1
74.0041	2	2	0
85.0041	2	2	1
92.0041	2	2	1
98.004	2	2	0
105.004	2	2	0
109.004	2	2	0
115.004	2	2	1
120.0039	2	1	1
125.0039	2	1	1
132.0039	2	1	1
139.0039	2	1	0
145.0039	2	1	1
155.0039	2	1	1
160.0039	2	1	1
164.0038	2	1	1
170.0038	20	3	0
190.0038	2	2	0
195.0038	2	2	1
202.0038	2	2	1
206.0038	2	2	1
212.0038	2	2	0
219.0038	2	2	0
231.0037	2	2	0
235.0037	2	2	1
240.0037	2	1	0
247.0036	2	1	0
251.0036	2	1	0
263.0036	2	1	1
268.0036	2	1	0
272.0036	2	1	1
279.0036	2	1	1
284.0035	2	1	0
290.0035	2	1	0
294.0035	2	1	1
299.0035	2	1	1
305.0035	2	1	1
311.0035	2	1	1
316.0035	2	1	0
320.0034	2	1	1
333.0034	2	1	0
340.0034	20	3	0
