onset	duration	trial_type	correct
0.0269	20	3	0
20.0069	2	1	1
24.0069	2	1	1
29.0068	2	1	1
36.0068	2	1	1
40.0068	2	1	1
45.0068	2	1	1
51.0068	2	1	0
63.0067	2	1	1
70.0067	2	1	1
76.0067	2	1	1
82.0067	2	1	1
89.0066	2	1	1
93.0066	2	1	1
103.0066	2	1	1
108.0066	2	1	0
115.0066	2	1	1
120.007	2	2	1
126.0066	2	2	1
133.0066	2	2	1
137.0065	2	2	1
141.0065	2	2	1
146.0065	2	2	1
158.0065	2	2	1
165.0064	2	2	1
170.0064	20	3	0
190.0064	2	2	1
194.0064	2	2	1
200.0063	2	2	1
207.0063	2	2	1
213.0063	2	2	1
220.0063	2	2	1
225.0063	2	2	1
235.0062	2	2	1
240.0062	2	1	1
246.0061	2	1	1
257.0061	2	1	0
264.0061	2	1	1
270.0061	2	1	1
277.006	2	1	1
281.006	2	1	1
285.006	2	1	1
290.006	2	2	1
295.006	2	2	1
302.006	2	2	1
306.006	2	2	1
312.006	2	2	1
317.006	2	2	1
323.0059	2	2	1
333.0059	2	2	1
340.0058	20	3	0
