onset	duration	trial_type	correct
0.0236	20	3	0
20.0034	2	1	1
27.0033	2	1	1
33.0032	2	1	0
38.0032	2	1	1
42.0032	2	1	1
48.0031	2	1	0
61.0029	2	1	1
65.0029	2	1	0
70.0033	2	2	1
77.0028	2	2	1
83.0028	2	2	1
87.0027	2	2	1
94.0027	2	2	1
98.0026	2	2	1
110.0025	2	2	1
115.0025	2	2	0
120.0024	2	2	0
125.0024	2	2	1
131.0023	2	2	1
138.0022	2	2	0
149.0021	2	2	0
153.0021	2	2	0
160.002	2	2	1
166.0019	2	2	0
170.0018	20	3	0
190.0016	2	1	1
197.0016	2	1	0
202.0015	2	1	1
212.0014	2	1	1
219.0013	2	1	1
223.0013	2	1	0
229.0012	2	1	0
234.0012	2	1	1
240.0012	2	2	1
247.0011	2	2	1
251.0011	2	2	1
258.001	2	2	1
268.0009	2	2	1
273.0008	2	2	0
279.0008	2	2	0
284.0107	2	2	0
290.0106	2	1	0
297.0105	2	1	1
303.0105	2	1	1
309.0104	2	1	1
320.0103	2	1	0
324.0103	2	1	1
329.0102	2	1	0
336.0101	2	1	0
340.0101	20	3	0
