onset	duration	trial_type	correct
0.0244	20	3	0
20.0043	2	1	0
24.0042	2	1	0
29.0042	2	1	1
36.0042	2	1	0
40.0041	2	1	0
45.0041	2	1	0
51.0041	2	1	1
63.004	2	1	1
70.0039	2	1	1
76.0039	2	1	0
82.0039	2	1	1
89.0038	2	1	0
93.0038	2	1	1
103.0037	2	1	1
108.0037	2	1	0
115.0036	2	1	1
120.0041	2	2	1
126.0036	2	2	1
133.0036	2	2	1
137.0036	2	2	1
141.0035	2	2	1
146.0035	2	2	1
158.0034	2	2	0
165.0034	2	2	1
170.0033	20	3	0
190.0032	2	2	0
194.0032	2	2	1
200.0031	2	2	0
207.0031	2	2	0
213.003	2	2	0
220.003	2	2	0
225.003	2	2	0
235.0029	2	2	1
240.0028	2	1	0
246.0028	2	1	1
257.0027	2	1	1
264.0027	2	1	1
270.0026	2	1	1
277.0026	2	1	1
281.0025	2	1	0
285.0025	2	1	1
290.0025	2	2	0
295.0025	2	2	1
302.0025	2	2	1
306.0024	2	2	1
312.0024	2	2	0
317.0024	2	2	1
323.0023	2	2	1
333.0022	2	2	1
340.0022	20	3	0
