onset	duration	trial_type	correct
0.0279	20	3	0
20.0077	2	1	1
24.0076	2	1	1
29.0076	2	1	1
36.0075	2	1	1
40.0074	2	1	1
45.0074	2	1	1
51.0073	2	1	1
63.0072	2	1	1
70.0071	2	1	1
76.0071	2	1	1
82.007	2	1	1
89.007	2	1	1
93.0069	2	1	1
103.0068	2	1	1
108.0068	2	1	1
115.0067	2	1	1
120.0071	2	2	1
126.0066	2	2	1
133.0066	2	2	1
137.0065	2	2	1
141.0065	2	2	1
146.0064	2	2	1
158.0063	2	2	1
165.0062	2	2	1
170.0061	20	3	0
190.006	2	2	1
194.0059	2	2	1
200.0059	2	2	1
207.0058	2	2	1
213.0057	2	2	1
220.0057	2	2	1
225.0056	2	2	1
235.0055	2	2	1
240.0054	2	1	1
246.0053	2	1	1
257.0052	2	1	1
264.0052	2	1	1
270.0051	2	1	1
277.005	2	1	1
281.005	2	1	1
285.0049	2	1	1
290.0049	2	2	1
295.0049	2	2	1
302.0048	2	2	1
306.0048	2	2	1
312.0047	2	2	1
317.0047	2	2	1
323.0046	2	2	1
333.0045	2	2	1
340.0044	20	3	0
