onset	duration	trial_type	correct
0.0299	20	3	0
20.0098	2	1	0
24.0098	2	1	1
29.0097	2	1	1
36.0097	2	1	1
40.0097	2	1	0
45.0097	2	1	0
51.0096	2	1	1
63.0095	2	1	1
70.0095	2	1	1
76.0095	2	1	0
82.0094	2	1	1
89.0094	2	1	1
93.0094	2	1	1
103.0093	2	1	1
108.0093	2	1	1
115.0092	2	1	1
120.0096	2	2	1
126.0092	2	2	0
133.0092	2	2	0
137.0092	2	2	1
141.0091	2	2	1
146.0091	2	2	1
158.009	2	2	1
165.009	2	2	1
170.0089	20	3	0
190.0088	2	2	1
194.0088	2	2	1
200.0088	2	2	1
207.0088	2	2	1
213.0087	2	2	0
220.0087	2	2	1
225.0086	2	2	1
235.0086	2	2	1
240.0085	2	1	1
246.0085	2	1	1
257.0084	2	1	1
264.0083	2	1	1
270.0083	2	1	1
277.0083	2	1	1
281.0082	2	1	0
285.0082	2	1	0
290.0082	2	2	1
295.0082	2	2	1
302.0082	2	2	1
306.0081	2	2	0
312.0081	2	2	0
317.0081	2	2	1
323.008	2	2	1
333.008	2	2	1
340.0079	20	3	0
