onset	duration	trial_type	correct
0.0261	20	3	0
20.0064	2	2	1
25.006	2	2	1
32.006	2	2	1
39.006	2	2	1
45.006	2	2	1
57.006	2	2	1
62.0059	2	2	1
66.0059	2	2	1
70.0059	2	2	0
74.0059	2	2	1
85.0058	2	2	0
92.0058	2	2	1
98.0058	2	2	1
105.0058	2	2	0
109.0058	2	2	0
115.0058	2	2	1
120.0057	2	1	1
125.0057	2	1	1
132.0057	2	1	0
139.0056	2	1	1
145.0056	2	1	1
155.0056	2	1	1
160.0055	2	1	1
164.0056	2	1	1
170.0055	20	3	0
190.0055	2	2	1
195.0055	2	2	1
202.0055	2	2	1
206.0055	2	2	1
212.0055	2	2	1
219.0054	2	2	0
231.0054	2	2	1
235.0054	2	2	1
240.0053	2	1	0
247.0053	2	1	1
251.0053	2	1	1
263.0052	2	1	1
268.0052	2	1	1
272.0052	2	1	1
279.0052	2	1	1
284.0052	2	1	1
290.0052	2	1	1
294.0051	2	1	1
299.0051	2	1	1
305.0051	2	1	1
311.0051	2	1	1
316.0051	2	1	1
320.0051	2	1	1
333.005	2	1	1
340.005	20	3	0
