onset	duration	trial_type	correct
0.0224	20	3	0
20.0022	2	1	1
24.0022	2	1	1
29.0021	2	1	1
36.0021	2	1	1
40.002	2	1	1
45.002	2	1	1
51.0019	2	1	1
63.0018	2	1	1
70.0017	2	1	1
76.0016	2	1	1
82.0016	2	1	1
89.0015	2	1	1
93.0015	2	1	1
103.0014	2	1	1
108.0013	2	1	1
115.0012	2	1	1
120.0016	2	2	1
126.0012	2	2	1
133.0011	2	2	1
137.0011	2	2	1
141.001	2	2	1
146.001	2	2	1
158.0009	2	2	1
165.0008	2	2	1
170.0007	20	3	0
190.0105	2	2	1
194.0105	2	2	1
200.0104	2	2	1
207.0103	2	2	0
213.0103	2	2	0
220.0102	2	2	1
225.0102	2	2	1
235.0101	2	2	1
240.01	2	1	1
246.0099	2	1	1
257.0098	2	1	1
264.0097	2	1	1
270.0097	2	1	1
277.0096	2	1	1
281.0095	2	1	1
285.0095	2	1	1
290.0095	2	2	1
295.0094	2	2	1
302.0094	2	2	1
306.0093	2	2	1
312.0093	2	2	1
317.0092	2	2	1
323.0093	2	2	1
333.0091	2	2	1
340.0089	20	3	0
