onset	duration	trial_type	correct
0.0253	20	3	0
20.005	2	1	1
24.005	2	1	1
29.005	2	1	1
36.0049	2	1	1
40.0049	2	1	1
45.0048	2	1	1
51.0048	2	1	1
63.0046	2	1	1
70.0046	2	1	1
76.0045	2	1	1
82.0045	2	1	1
89.0044	2	1	1
93.0043	2	1	1
103.0042	2	1	1
108.0042	2	1	1
115.0041	2	1	1
120.0045	2	2	1
126.0041	2	2	1
133.004	2	2	1
137.0039	2	2	1
141.0039	2	2	1
146.0038	2	2	1
158.0037	2	2	1
165.0037	2	2	0
170.0036	20	3	0
190.0034	2	2	1
194.0034	2	2	1
200.0033	2	2	1
207.0032	2	2	1
213.0032	2	2	1
220.0031	2	2	1
225.003	2	2	1
235.0029	2	2	1
240.0028	2	1	1
246.0028	2	1	1
257.0026	2	1	1
264.0026	2	1	1
270.0025	2	1	1
277.0025	2	1	1
281.0024	2	1	1
285.0024	2	1	1
290.0024	2	2	1
295.0023	2	2	1
302.0022	2	2	1
306.0022	2	2	0
312.0021	2	2	1
317.0021	2	2	1
323.002	2	2	1
333.0019	2	2	1
340.0018	20	3	0
