onset	duration	trial_type	correct
0.0249	20	3	0
20.0048	2	1	1
24.0048	2	1	0
29.0048	2	1	1
36.0048	2	1	0
40.0048	2	1	1
45.0047	2	1	1
51.0047	2	1	1
63.0047	2	1	1
70.0047	2	1	1
76.0047	2	1	0
82.0046	2	1	1
89.0046	2	1	1
93.0046	2	1	1
103.0046	2	1	0
108.0046	2	1	0
115.0046	2	1	1
120.005	2	2	0
126.0046	2	2	0
133.0046	2	2	0
137.0046	2	2	1
141.0045	2	2	1
146.0045	2	2	0
158.0045	2	2	0
165.0045	2	2	1
170.0044	20	3	0
190.0044	2	2	0
194.0044	2	2	1
200.0044	2	2	1
207.0044	2	2	1
213.0044	2	2	0
220.0043	2	2	1
225.0043	2	2	1
235.0043	2	2	1
240.0042	2	1	1
246.0042	2	1	1
257.0042	2	1	1
264.0042	2	1	1
270.0042	2	1	1
277.0041	2	1	1
281.0041	2	1	0
285.0041	2	1	0
290.0042	2	2	0
295.0041	2	2	0
302.0041	2	2	1
306.0041	2	2	1
312.0041	2	2	0
317.0041	2	2	1
323.0041	2	2	1
333.004	2	2	1
340.004	20	3	0
