onset	duration	trial_type	correct
0.0257	20	3	0
20.0057	2	1	0
24.0057	2	1	1
29.0057	2	1	1
36.0057	2	1	0
40.0056	2	1	0
45.0056	2	1	0
51.0056	2	1	1
63.0056	2	1	1
70.0056	2	1	1
76.0056	2	1	0
82.0055	2	1	1
89.0055	2	1	1
93.0055	2	1	1
103.0055	2	1	1
108.0055	2	1	1
115.0054	2	1	1
120.0059	2	2	1
126.0055	2	2	0
133.0055	2	2	1
137.0054	2	2	1
141.0054	2	2	1
146.0054	2	2	0
158.0054	2	2	0
165.0054	2	2	1
170.0053	20	3	0
190.0053	2	2	0
194.0053	2	2	1
200.0053	2	2	1
207.0053	2	2	1
213.0053	2	2	0
220.0053	2	2	0
225.0052	2	2	1
235.0052	2	2	1
240.0051	2	1	1
246.0051	2	1	1
257.0051	2	1	1
264.0051	2	1	1
270.005	2	1	1
277.005	2	1	1
281.005	2	1	0
285.005	2	1	0
290.005	2	2	0
295.005	2	2	1
302.005	2	2	1
306.005	2	2	1
312.005	2	2	0
317.005	2	2	1
323.0049	2	2	0
333.0049	2	2	1
340.0048	20	3	0
