onset	duration	trial_type	correct
0.0228	20	3	0
20.0027	2	1	0
27.0027	2	1	1
33.0027	2	1	1
38.0027	2	1	1
42.0027	2	1	0
48.0026	2	1	0
61.0026	2	1	0
65.0026	2	1	0
70.0031	2	2	1
77.0027	2	2	1
83.0026	2	2	1
87.0026	2	2	1
94.0026	2	2	1
98.0026	2	2	0
110.0025	2	2	1
115.0025	2	2	1
120.0025	2	2	0
125.0025	2	2	1
131.0025	2	2	1
138.0025	2	2	1
149.0024	2	2	1
153.0024	2	2	0
160.0024	2	2	0
166.0024	2	2	0
170.0023	20	3	0
190.0023	2	1	0
197.0023	2	1	1
202.0023	2	1	1
212.0022	2	1	1
219.0022	2	1	1
223.0022	2	1	1
229.0022	2	1	0
234.0022	2	1	1
240.0022	2	2	1
247.0022	2	2	1
251.0022	2	2	1
258.0022	2	2	1
268.0021	2	2	1
273.0021	2	2	1
279.0021	2	2	1
284.0021	2	2	0
290.002	2	1	0
297.002	2	1	1
303.002	2	1	1
309.002	2	1	1
320.002	2	1	0
324.002	2	1	1
329.0019	2	1	1
336.0019	2	1	0
340.0019	20	3	0
