onset	duration	trial_type	correct
0.0211	20	3	0
19.9997	2	1	1
24.001	2	1	1
29.0009	2	1	1
36.0009	2	1	1
40.0009	2	1	1
45.0009	2	1	1
51.0008	2	1	1
63.0007	2	1	1
70.0007	2	1	1
76.0107	2	1	1
82.0106	2	1	1
89.0106	2	1	1
93.0106	2	1	1
103.0105	2	1	1
108.0105	2	1	1
115.0104	2	1	1
120.0108	2	2	1
126.0104	2	2	1
133.0104	2	2	1
137.0104	2	2	1
141.0103	2	2	1
146.0103	2	2	1
158.0102	2	2	1
165.0102	2	2	1
170.0101	20	3	0
190.01	2	2	1
194.01	2	2	1
200.01	2	2	1
207.0099	2	2	1
213.0099	2	2	1
220.0098	2	2	1
225.0098	2	2	1
235.0098	2	2	1
240.0097	2	1	1
246.0096	2	1	1
257.0096	2	1	1
264.0095	2	1	1
270.0095	2	1	1
277.0095	2	1	1
281.0094	2	1	1
285.0094	2	1	1
290.0094	2	2	1
295.0094	2	2	1
302.0093	2	2	1
306.0093	2	2	1
312.0093	2	2	1
317.0093	2	2	1
323.0093	2	2	1
333.0092	2	2	1
340.009	20	3	0
