onset	duration	trial_type	correct
0.0257	20	3	0
20.0056	2	1	1
27.0056	2	1	1
33.0056	2	1	1
38.0056	2	1	0
42.0056	2	1	1
48.0056	2	1	1
61.0055	2	1	1
65.0055	2	1	1
70.0059	2	2	1
77.0055	2	2	1
83.0055	2	2	1
87.0055	2	2	1
94.0055	2	2	1
98.0055	2	2	1
110.0054	2	2	1
115.0054	2	2	0
120.0054	2	2	1
125.0054	2	2	1
131.0054	2	2	1
138.0054	2	2	1
149.0054	2	2	1
153.0053	2	2	1
160.0053	2	2	1
166.0053	2	2	1
170.0052	20	3	0
190.0052	2	1	1
197.0052	2	1	1
202.0052	2	1	1
212.0051	2	1	1
219.0051	2	1	1
223.0051	2	1	1
229.0051	2	1	1
234.0051	2	1	1
240.0051	2	2	1
247.0051	2	2	1
251.0051	2	2	0
258.0051	2	2	0
268.0051	2	2	1
273.005	2	2	1
279.005	2	2	1
284.005	2	2	1
290.0049	2	1	1
297.0049	2	1	1
303.0049	2	1	0
309.0049	2	1	1
320.0049	2	1	1
324.0048	2	1	1
329.0048	2	1	1
336.0048	2	1	1
340.0048	20	3	0
