onset	duration	trial_type	correct
0.0263	20	3	0
20.0062	2	1	1
27.0062	2	1	1
33.0062	2	1	1
38.0062	2	1	1
42.0062	2	1	1
48.0062	2	1	0
61.0061	2	1	1
65.0061	2	1	0
70.0065	2	2	1
77.0061	2	2	1
83.0061	2	2	1
87.0061	2	2	1
94.0061	2	2	0
98.0061	2	2	1
110.006	2	2	1
115.006	2	2	1
120.006	2	2	0
125.006	2	2	0
131.006	2	2	1
138.006	2	2	0
149.0059	2	2	1
153.0059	2	2	0
160.0059	2	2	1
166.0059	2	2	1
170.0058	20	3	0
190.0058	2	1	0
197.0058	2	1	1
202.0058	2	1	1
212.0057	2	1	1
219.0056	2	1	1
223.0057	2	1	0
229.0057	2	1	0
234.0057	2	1	1
240.0057	2	2	1
247.0057	2	2	0
251.0057	2	2	1
258.0057	2	2	1
268.0056	2	2	1
273.0056	2	2	0
279.0056	2	2	1
284.0056	2	2	0
290.0055	2	1	0
297.0055	2	1	1
303.0055	2	1	1
309.0055	2	1	1
320.0055	2	1	0
324.0055	2	1	1
329.0054	2	1	1
336.0054	2	1	1
340.0054	20	3	0
