onset	duration	trial_type	correct
0.026	20	3	0
20.0059	2	1	1
27.0059	2	1	1
33.0058	2	1	1
38.0058	2	1	1
42.0058	2	1	1
48.0058	2	1	0
61.0057	2	1	1
65.0056	2	1	1
70.006	2	2	1
77.0056	2	2	1
83.0056	2	2	1
87.0056	2	2	1
94.0055	2	2	1
98.0055	2	2	1
110.0054	2	2	1
115.0054	2	2	0
120.0054	2	2	1
125.0053	2	2	1
131.0053	2	2	1
138.0053	2	2	1
149.0052	2	2	1
153.0052	2	2	1
160.0051	2	2	1
166.0051	2	2	1
170.005	20	3	0
190.0049	2	1	1
197.0049	2	1	1
202.0048	2	1	1
212.0048	2	1	1
219.0047	2	1	1
223.0047	2	1	1
229.0047	2	1	1
234.0046	2	1	1
240.0046	2	2	1
247.0046	2	2	1
251.0046	2	2	0
258.0045	2	2	1
268.0045	2	2	1
273.0044	2	2	1
279.0044	2	2	1
284.0044	2	2	1
290.0043	2	1	1
297.0042	2	1	1
303.0042	2	1	1
309.0042	2	1	1
320.0041	2	1	1
324.0041	2	1	1
329.0041	2	1	1
336.004	2	1	1
340.004	20	3	0
