onset	duration	trial_type	correct
0.0286	20	3	0
20.0085	2	1	1
27.0084	2	1	1
33.0084	2	1	1
38.0083	2	1	1
42.0083	2	1	1
48.0083	2	1	1
61.0082	2	1	1
65.0082	2	1	0
70.0086	2	2	1
77.0082	2	2	1
83.0081	2	2	1
87.0081	2	2	0
94.0081	2	2	0
98.008	2	2	1
110.008	2	2	1
115.0079	2	2	0
120.0079	2	2	0
125.0079	2	2	1
131.0078	2	2	1
138.0078	2	2	1
149.0077	2	2	1
153.0077	2	2	1
160.0077	2	2	1
166.0076	2	2	0
170.0075	20	3	0
190.0074	2	1	1
197.0074	2	1	0
202.0074	2	1	0
212.0073	2	1	0
219.0073	2	1	0
223.0072	2	1	0
229.0072	2	1	1
234.0072	2	1	1
240.0072	2	2	1
247.0072	2	2	1
251.0071	2	2	1
258.0071	2	2	1
268.007	2	2	1
273.007	2	2	0
279.0069	2	2	1
284.0069	2	2	0
290.0068	2	1	0
297.0068	2	1	0
303.0067	2	1	0
309.0067	2	1	1
320.0066	2	1	0
324.0066	2	1	0
329.0066	2	1	0
336.0065	2	1	0
340.0065	20	3	0
