onset	duration	trial_type	correct
0.0281	20	3	0
20.008	2	1	1
27.008	2	1	1
33.008	2	1	1
38.008	2	1	1
42.008	2	1	1
48.008	2	1	1
61.0079	2	1	1
65.0079	2	1	0
70.0083	2	2	1
77.0079	2	2	1
83.0079	2	2	1
87.0079	2	2	1
94.0079	2	2	0
98.0079	2	2	0
110.0078	2	2	1
115.0078	2	2	0
120.0078	2	2	1
125.0078	2	2	1
131.0078	2	2	1
138.0077	2	2	0
149.0077	2	2	0
153.0077	2	2	1
160.0077	2	2	1
166.0076	2	2	0
170.0076	20	3	0
190.0075	2	1	0
197.0075	2	1	1
202.0075	2	1	1
212.0075	2	1	1
219.0074	2	1	1
223.0074	2	1	0
229.0074	2	1	0
234.0073	2	1	1
240.0074	2	2	1
247.0074	2	2	1
251.0074	2	2	1
258.0074	2	2	1
268.0073	2	2	1
273.0073	2	2	1
279.0073	2	2	1
284.0073	2	2	1
290.0072	2	1	0
297.0072	2	1	1
303.0072	2	1	1
309.0072	2	1	0
320.0071	2	1	1
324.0071	2	1	1
329.0071	2	1	1
336.0071	2	1	0
340.0071	20	3	0
