onset	duration	trial_type	correct
0.0253	20	3	0
20.0057	2	2	1
25.0053	2	2	1
32.0053	2	2	1
39.0052	2	2	1
45.0052	2	2	1
57.0052	2	2	1
62.0052	2	2	1
66.0052	2	2	1
70.0051	2	2	1
74.0051	2	2	1
85.0052	2	2	1
92.0051	2	2	1
98.0051	2	2	1
105.005	2	2	1
109.005	2	2	1
115.005	2	2	1
120.0049	2	1	1
125.0049	2	1	1
132.0049	2	1	0
139.0049	2	1	1
145.0049	2	1	1
155.0048	2	1	1
160.0048	2	1	1
164.0048	2	1	0
170.0048	20	3	0
190.0048	2	2	1
195.0048	2	2	1
202.0047	2	2	1
206.0047	2	2	1
212.0047	2	2	1
219.0047	2	2	1
231.0048	2	2	1
235.0046	2	2	1
240.0045	2	1	1
247.0045	2	1	1
251.0045	2	1	1
263.0044	2	1	1
268.0045	2	1	1
272.0045	2	1	1
279.0045	2	1	1
284.0044	2	1	1
290.0044	2	1	1
294.0044	2	1	1
299.0044	2	1	1
305.0044	2	1	1
311.0044	2	1	1
316.0043	2	1	1
320.0043	2	1	1
333.0043	2	1	1
340.0043	20	3	0
