onset	duration	trial_type	correct
0.0256	20	3	0
20.0056	2	1	1
27.0056	2	1	1
33.0055	2	1	0
38.0055	2	1	1
42.0055	2	1	1
48.0055	2	1	0
61.0055	2	1	1
65.0055	2	1	0
70.0059	2	2	1
77.0055	2	2	1
83.0055	2	2	1
87.0055	2	2	1
94.0054	2	2	0
98.0054	2	2	1
110.0054	2	2	0
115.0054	2	2	0
120.0054	2	2	0
125.0054	2	2	0
131.0053	2	2	1
138.0053	2	2	0
149.0053	2	2	0
153.0053	2	2	1
160.0053	2	2	0
166.0053	2	2	1
170.0052	20	3	0
190.0051	2	1	1
197.0051	2	1	0
202.0051	2	1	0
212.0051	2	1	1
219.0051	2	1	1
223.0051	2	1	0
229.005	2	1	0
234.005	2	1	1
240.0051	2	2	1
247.005	2	2	0
251.005	2	2	1
258.005	2	2	0
268.005	2	2	1
273.005	2	2	1
279.005	2	2	0
284.0049	2	2	0
290.0049	2	1	0
297.0049	2	1	1
303.0048	2	1	1
309.0048	2	1	1
320.0048	2	1	0
324.0048	2	1	1
329.0048	2	1	1
336.0048	2	1	0
340.0047	20	3	0
