onset	duration	trial_type	correct
0.0258	20	3	0
20.0061	2	2	0
25.0056	2	2	1
32.0056	2	2	1
39.0055	2	2	1
45.0054	2	2	0
57.0053	2	2	1
62.0053	2	2	1
66.0052	2	2	0
70.0052	2	2	1
74.0051	2	2	1
85.005	2	2	1
92.0049	2	2	1
98.0049	2	2	0
105.0048	2	2	0
109.0048	2	2	1
115.0047	2	2	1
120.0046	2	1	1
125.0046	2	1	1
132.0045	2	1	1
139.0044	2	1	1
145.0044	2	1	1
155.0043	2	1	1
160.0042	2	1	1
164.0042	2	1	1
170.0041	20	3	0
190.0039	2	2	0
195.0039	2	2	1
202.0038	2	2	1
206.0038	2	2	1
212.0037	2	2	1
219.0036	2	2	0
231.0035	2	2	0
235.0035	2	2	1
240.0034	2	1	1
247.0033	2	1	1
251.0033	2	1	0
263.0031	2	1	1
268.0031	2	1	1
272.0031	2	1	1
279.003	2	1	1
284.0029	2	1	0
290.0029	2	1	1
294.0028	2	1	1
299.0028	2	1	1
305.0027	2	1	1
311.0027	2	1	1
316.0026	2	1	0
320.0026	2	1	1
333.0024	2	1	1
340.0024	20	3	0
