onset	duration	trial_type	correct
0.024	20	3	0
20.0038	2	1	0
24.0038	2	1	0
29.0037	2	1	1
36.0037	2	1	1
40.0036	2	1	0
45.0036	2	1	1
51.0035	2	1	1
63.0034	2	1	1
70.0033	2	1	1
76.0033	2	1	0
82.0032	2	1	1
89.0031	2	1	1
93.0031	2	1	1
103.003	2	1	1
108.0029	2	1	1
115.0029	2	1	1
120.0032	2	2	1
126.0028	2	2	1
133.0027	2	2	1
137.0027	2	2	1
141.0026	2	2	1
146.0026	2	2	1
158.0025	2	2	1
165.0024	2	2	1
170.0023	20	3	0
190.0021	2	2	1
194.0021	2	2	1
200.002	2	2	1
207.002	2	2	1
213.0019	2	2	1
220.0018	2	2	1
225.0018	2	2	1
235.0017	2	2	1
240.0016	2	1	1
246.0015	2	1	0
257.0014	2	1	1
264.0013	2	1	1
270.0013	2	1	1
277.0012	2	1	1
281.0011	2	1	1
285.0011	2	1	1
290.0011	2	2	1
295.0011	2	2	1
302.001	2	2	1
306.0009	2	2	1
312.0009	2	2	1
317.0008	2	2	1
323.0008	2	2	1
333.0107	2	2	1
340.0105	20	3	0
