onset	duration	trial_type	correct
0.0298	20	3	0
20.0096	2	1	1
27.0095	2	1	1
33.0095	2	1	1
38.0094	2	1	1
42.0094	2	1	1
48.0093	2	1	0
61.0092	2	1	1
65.0091	2	1	1
70.0095	2	2	1
77.0091	2	2	1
83.009	2	2	0
87.009	2	2	1
94.0089	2	2	1
98.0089	2	2	1
110.0087	2	2	1
115.0087	2	2	0
120.0086	2	2	1
125.0086	2	2	1
131.0085	2	2	1
138.0085	2	2	1
149.0083	2	2	1
153.0083	2	2	0
160.0082	2	2	1
166.0082	2	2	1
170.0081	20	3	0
190.0079	2	1	0
197.0078	2	1	1
202.0078	2	1	1
212.0076	2	1	1
219.0076	2	1	1
223.0075	2	1	1
229.0075	2	1	1
234.0074	2	1	1
240.0074	2	2	1
247.0073	2	2	1
251.0073	2	2	0
258.0072	2	2	1
268.0071	2	2	1
273.0071	2	2	0
279.007	2	2	0
284.007	2	2	1
290.0068	2	1	0
297.0068	2	1	1
303.0067	2	1	1
309.0067	2	1	1
320.0065	2	1	1
324.0065	2	1	1
329.0064	2	1	1
336.0064	2	1	1
340.0063	20	3	0
