onset	duration	trial_type	correct
0.0299	20	3	0
20.0097	2	1	1
27.0097	2	1	0
33.0096	2	1	1
38.0096	2	1	1
42.0095	2	1	0
48.0094	2	1	1
61.0093	2	1	0
65.0093	2	1	0
70.0096	2	2	1
77.0092	2	2	1
83.0091	2	2	1
87.0091	2	2	1
94.009	2	2	1
98.009	2	2	1
110.0089	2	2	1
115.0088	2	2	0
120.0088	2	2	0
125.0087	2	2	0
131.0086	2	2	1
138.0086	2	2	0
149.0085	2	2	1
153.0084	2	2	1
160.0083	2	2	0
166.0083	2	2	1
170.0082	20	3	0
190.008	2	1	0
197.0079	2	1	0
202.0079	2	1	1
212.0078	2	1	1
219.0077	2	1	1
223.0076	2	1	0
229.0076	2	1	1
234.0075	2	1	0
240.0075	2	2	1
247.0074	2	2	1
251.0074	2	2	1
258.0073	2	2	0
268.0072	2	2	1
273.0072	2	2	1
279.0071	2	2	1
284.0071	2	2	1
290.007	2	1	0
297.0069	2	1	1
303.0068	2	1	1
309.0068	2	1	1
320.0066	2	1	0
324.0066	2	1	0
329.0065	2	1	1
336.0065	2	1	0
340.0064	20	3	0
