onset	duration	trial_type	correct
0.0298	20	3	0
20.0097	2	1	1
27.0097	2	1	1
33.0097	2	1	0
38.0097	2	1	1
42.0097	2	1	1
48.0096	2	1	0
61.0096	2	1	0
65.0096	2	1	0
70.01	2	2	1
77.0096	2	2	1
83.0096	2	2	1
87.0096	2	2	1
94.0095	2	2	1
98.0095	2	2	1
110.0095	2	2	1
115.0095	2	2	0
120.0095	2	2	0
125.0094	2	2	1
131.0094	2	2	1
138.0094	2	2	0
149.0094	2	2	0
153.0093	2	2	1
160.0093	2	2	0
166.0093	2	2	0
170.0093	20	3	0
190.0092	2	1	0
197.0092	2	1	1
202.0091	2	1	1
212.0091	2	1	1
219.0091	2	1	1
223.0091	2	1	1
229.0091	2	1	0
234.009	2	1	1
240.0091	2	2	0
247.0091	2	2	1
251.009	2	2	1
258.009	2	2	1
268.009	2	2	0
273.009	2	2	1
279.0089	2	2	0
284.0089	2	2	0
290.0089	2	1	0
297.0088	2	1	1
303.0088	2	1	1
309.0088	2	1	1
320.0087	2	1	0
324.0086	2	1	1
329.0087	2	1	1
336.0087	2	1	0
340.0087	20	3	0
