onset	duration	trial_type	correct
0.0297	20	3	0
20.0101	2	2	1
25.0097	2	2	0
32.0097	2	2	1
39.0097	2	2	1
45.0096	2	2	1
57.0096	2	2	1
62.0096	2	2	1
66.0096	2	2	0
70.0096	2	2	1
74.0095	2	2	1
85.0095	2	2	1
92.0095	2	2	1
98.0095	2	2	1
105.0095	2	2	1
109.0095	2	2	1
115.0094	2	2	1
120.0093	2	1	1
125.0093	2	1	1
132.0093	2	1	1
139.0093	2	1	1
145.0093	2	1	1
155.0092	2	1	1
160.0092	2	1	1
164.0092	2	1	1
170.0092	20	3	0
190.0092	2	2	1
195.0092	2	2	1
202.0091	2	2	1
206.0091	2	2	1
212.0091	2	2	1
219.0091	2	2	1
231.0091	2	2	1
235.009	2	2	1
240.009	2	1	1
247.009	2	1	1
251.0089	2	1	1
263.0089	2	1	1
268.0089	2	1	1
272.0089	2	1	1
279.0088	2	1	1
284.0088	2	1	1
290.0088	2	1	1
294.0088	2	1	1
299.0088	2	1	1
305.0088	2	1	1
311.0087	2	1	1
316.0087	2	1	1
320.0087	2	1	1
333.0087	2	1	1
340.0086	20	3	0
