onset	duration	trial_type	correct
0.0291	20	3	0
20.009	2	1	1
24.009	2	1	1
29.009	2	1	1
36.009	2	1	1
40.009	2	1	1
45.0089	2	1	1
51.0089	2	1	1
63.0089	2	1	1
70.0089	2	1	1
76.0088	2	1	1
82.0088	2	1	1
89.0088	2	1	1
93.0088	2	1	1
103.0088	2	1	1
108.0087	2	1	1
115.0087	2	1	1
120.0092	2	2	1
126.0087	2	2	1
133.0087	2	2	1
137.0087	2	2	1
141.0087	2	2	1
146.0087	2	2	1
158.0087	2	2	1
165.0086	2	2	1
170.0086	20	3	0
190.0085	2	2	1
194.0085	2	2	1
200.0085	2	2	1
207.0085	2	2	0
213.0085	2	2	1
220.0084	2	2	1
225.0084	2	2	1
235.0084	2	2	1
240.0083	2	1	1
246.0083	2	1	1
257.0083	2	1	1
264.0083	2	1	1
270.0082	2	1	1
277.0082	2	1	1
281.0082	2	1	1
285.0082	2	1	1
290.0082	2	2	1
295.0082	2	2	1
302.0082	2	2	1
306.0082	2	2	1
312.0082	2	2	1
317.0081	2	2	1
323.0081	2	2	1
333.0081	2	2	1
340.008	20	3	0
