onset	duration	trial_type	correct
0.0278	20	3	0
20.0077	2	1	0
24.0077	2	1	1
29.0076	2	1	1
36.0076	2	1	1
40.0076	2	1	0
45.0075	2	1	1
51.0075	2	1	1
63.0074	2	1	1
70.0074	2	1	1
76.0073	2	1	0
82.0073	2	1	1
89.0073	2	1	1
93.0072	2	1	1
103.0072	2	1	1
108.0071	2	1	1
115.0071	2	1	1
120.0075	2	2	0
126.0071	2	2	1
133.007	2	2	1
137.007	2	2	1
141.007	2	2	0
146.0069	2	2	1
158.0068	2	2	0
165.0069	2	2	1
170.0067	20	3	0
190.0066	2	2	0
194.0066	2	2	0
200.0066	2	2	0
207.0065	2	2	1
213.0065	2	2	0
220.0064	2	2	1
225.0064	2	2	1
235.0063	2	2	1
240.0062	2	1	1
246.0062	2	1	1
257.0061	2	1	1
264.0061	2	1	1
270.006	2	1	1
277.006	2	1	1
281.006	2	1	0
285.0059	2	1	0
290.006	2	2	0
295.0059	2	2	0
302.0059	2	2	1
306.0058	2	2	0
312.0058	2	2	0
317.0058	2	2	1
323.0057	2	2	1
333.0057	2	2	1
340.0056	20	3	0
