onset	duration	trial_type	correct
0.0257	20	3	0
20.0056	2	1	1
27.0056	2	1	0
33.0055	2	1	1
38.0055	2	1	1
42.0055	2	1	1
48.0055	2	1	1
61.0054	2	1	1
65.0054	2	1	1
70.0058	2	2	1
77.0053	2	2	1
83.0053	2	2	1
87.0053	2	2	1
94.0052	2	2	0
98.0052	2	2	0
110.0051	2	2	1
115.0051	2	2	0
120.0051	2	2	0
125.0051	2	2	1
131.005	2	2	1
138.005	2	2	0
149.0049	2	2	1
153.0049	2	2	0
160.0048	2	2	0
166.0048	2	2	1
170.0047	20	3	0
190.0046	2	1	0
197.0046	2	1	1
202.0046	2	1	1
212.0045	2	1	1
219.0044	2	1	1
223.0044	2	1	1
229.0044	2	1	1
234.0044	2	1	1
240.0044	2	2	1
247.0043	2	2	1
251.0043	2	2	1
258.0043	2	2	1
268.0042	2	2	1
273.0042	2	2	0
279.0041	2	2	1
284.0041	2	2	1
290.004	2	1	0
297.004	2	1	1
303.004	2	1	1
309.0039	2	1	1
320.0039	2	1	0
324.0038	2	1	1
329.0038	2	1	1
336.0038	2	1	1
340.0037	20	3	0
