onset	duration	trial_type	correct
0.0286	20	3	0
20.0086	2	1	1
24.0085	2	1	1
29.0085	2	1	1
36.0085	2	1	1
40.0085	2	1	1
45.0085	2	1	1
51.0085	2	1	0
63.0084	2	1	1
70.0084	2	1	1
76.0084	2	1	1
82.0084	2	1	1
89.0083	2	1	1
93.0083	2	1	1
103.0083	2	1	1
108.0083	2	1	1
115.0083	2	1	1
120.0086	2	2	1
126.0083	2	2	1
133.0083	2	2	1
137.0082	2	2	1
141.0082	2	2	1
146.0082	2	2	1
158.0082	2	2	1
165.0081	2	2	0
170.0081	20	3	0
190.0081	2	2	1
194.0081	2	2	1
200.008	2	2	1
207.008	2	2	1
213.008	2	2	1
220.008	2	2	1
225.008	2	2	1
235.0079	2	2	1
240.0079	2	1	0
246.0078	2	1	0
257.0078	2	1	1
264.0078	2	1	1
270.0078	2	1	1
277.0077	2	1	1
281.0077	2	1	1
285.0077	2	1	1
290.0078	2	2	1
295.0077	2	2	1
302.0077	2	2	1
306.0077	2	2	1
312.0077	2	2	1
317.0077	2	2	1
323.0077	2	2	1
333.0076	2	2	1
340.0076	20	3	0
