onset	duration	trial_type	correct
0.0234	20	3	0
20.0033	2	1	1
24.0032	2	1	1
29.0032	2	1	1
36.0031	2	1	1
40.0031	2	1	1
45.0005	2	1	1
51.003	2	1	0
63.003	2	1	1
70.0029	2	1	1
76.0029	2	1	1
82.0028	2	1	0
89.0028	2	1	1
93.0028	2	1	1
103.0026	2	1	1
108.0026	2	1	1
115.0026	2	1	1
120.003	2	2	1
126.0026	2	2	1
133.0026	2	2	1
137.0025	2	2	1
141.0025	2	2	1
146.0025	2	2	0
158.0024	2	2	1
165.0023	2	2	0
170.0023	20	3	0
190.0022	2	2	1
194.0021	2	2	1
200.0021	2	2	1
207.0021	2	2	0
213.002	2	2	0
220.002	2	2	1
225.0019	2	2	1
235.0019	2	2	1
240.0018	2	1	1
246.0017	2	1	1
257.0017	2	1	1
264.0016	2	1	1
270.0016	2	1	1
277.0015	2	1	1
281.0015	2	1	1
285.0015	2	1	1
290.0015	2	2	1
295.0015	2	2	1
302.0014	2	2	1
306.0014	2	2	1
312.0014	2	2	1
317.0013	2	2	1
323.0013	2	2	1
333.0012	2	2	1
340.0011	20	3	0
