onset	duration	trial_type	correct
0.0277	20	3	0
20.0081	2	2	1
25.0077	2	2	1
32.0077	2	2	1
39.0077	2	2	1
45.0077	2	2	1
57.0076	2	2	1
62.0076	2	2	1
66.0076	2	2	0
70.0076	2	2	0
74.0076	2	2	1
85.0075	2	2	1
92.0075	2	2	1
98.0075	2	2	1
105.0075	2	2	1
109.0075	2	2	1
115.0074	2	2	1
120.0074	2	1	1
125.0073	2	1	1
132.0073	2	1	1
139.0073	2	1	1
145.0073	2	1	1
155.0073	2	1	1
160.0072	2	1	1
164.0072	2	1	0
170.0072	20	3	0
190.0072	2	2	1
195.0072	2	2	1
202.0072	2	2	1
206.0071	2	2	1
212.0071	2	2	1
219.0071	2	2	1
231.0071	2	2	1
235.0071	2	2	1
240.007	2	1	1
247.007	2	1	1
251.007	2	1	1
263.0069	2	1	1
268.0069	2	1	1
272.0069	2	1	1
279.0069	2	1	1
284.0069	2	1	1
290.0068	2	1	1
294.0068	2	1	1
299.0068	2	1	1
305.0068	2	1	1
311.0068	2	1	1
316.0067	2	1	1
320.0067	2	1	1
333.0067	2	1	1
340.0067	20	3	0
