onset	duration	trial_type	correct
0.027	20	3	0
20.007	2	1	0
24.0069	2	1	1
29.0069	2	1	0
36.0069	2	1	1
40.0069	2	1	0
45.0069	2	1	1
51.0069	2	1	1
63.0068	2	1	1
70.0068	2	1	1
76.0068	2	1	1
82.0068	2	1	1
89.0067	2	1	1
93.0067	2	1	1
103.0067	2	1	1
108.0067	2	1	1
115.0067	2	1	1
120.0071	2	2	0
126.0067	2	2	0
133.0067	2	2	1
137.0066	2	2	1
141.0066	2	2	1
146.0066	2	2	1
158.0066	2	2	0
165.0066	2	2	1
170.0065	20	3	0
190.0065	2	2	0
194.0065	2	2	1
200.0064	2	2	1
207.0064	2	2	1
213.0064	2	2	0
220.0064	2	2	1
225.0064	2	2	1
235.0063	2	2	1
240.0063	2	1	1
246.0062	2	1	1
257.0062	2	1	1
264.0062	2	1	1
270.0062	2	1	1
277.0061	2	1	1
281.0061	2	1	0
285.0061	2	1	0
290.0061	2	2	0
295.0061	2	2	0
302.0061	2	2	1
306.0061	2	2	1
312.0061	2	2	0
317.006	2	2	0
323.006	2	2	1
333.006	2	2	1
340.0059	20	3	0
