onset	duration	trial_type	correct
0.0241	20	3	0
20.004	2	1	1
27.0039	2	1	1
33.0039	2	1	1
38.0039	2	1	1
42.0039	2	1	1
48.0039	2	1	0
61.0038	2	1	1
65.0038	2	1	0
70.0042	2	2	1
77.0037	2	2	1
83.0037	2	2	1
87.0037	2	2	1
94.0036	2	2	0
98.0036	2	2	1
110.0036	2	2	1
115.0035	2	2	0
120.0035	2	2	0
125.0035	2	2	1
131.0034	2	2	1
138.0034	2	2	0
149.0033	2	2	1
153.0033	2	2	1
160.0033	2	2	1
166.0032	2	2	0
170.0032	20	3	0
190.003	2	1	1
197.003	2	1	1
202.003	2	1	1
212.0029	2	1	1
219.0029	2	1	1
223.0028	2	1	0
229.0028	2	1	0
234.0028	2	1	1
240.0028	2	2	1
247.0028	2	2	1
251.0027	2	2	0
258.0027	2	2	1
268.0026	2	2	0
273.0026	2	2	0
279.0026	2	2	1
284.0025	2	2	0
290.0024	2	1	0
297.0024	2	1	1
303.0024	2	1	1
309.0023	2	1	0
320.0023	2	1	0
324.0022	2	1	1
329.0022	2	1	0
336.0022	2	1	0
340.0022	20	3	0
