onset	duration	trial_type	correct
0.0249	20	3	0
20.0048	2	1	1
24.0048	2	1	1
29.0047	2	1	1
36.0047	2	1	1
40.0047	2	1	0
45.0046	2	1	1
51.0046	2	1	1
63.0045	2	1	1
70.0045	2	1	1
76.0044	2	1	1
82.0044	2	1	1
89.0043	2	1	1
93.0043	2	1	1
103.0042	2	1	1
108.0042	2	1	1
115.0042	2	1	1
120.0183	2	2	0
126.0041	2	2	0
133.0041	2	2	1
137.0041	2	2	1
141.004	2	2	1
146.004	2	2	1
158.0039	2	2	0
165.0039	2	2	1
170.0038	20	3	0
190.0037	2	2	0
194.0037	2	2	0
200.0036	2	2	1
207.0036	2	2	1
213.0036	2	2	1
220.0035	2	2	1
225.0035	2	2	1
235.0034	2	2	1
240.0033	2	1	1
246.0033	2	1	1
257.0032	2	1	1
264.0032	2	1	1
270.0031	2	1	1
277.0031	2	1	1
281.003	2	1	0
285.003	2	1	1
290.0031	2	2	0
295.003	2	2	0
302.0029	2	2	1
306.0029	2	2	1
312.0029	2	2	0
317.0028	2	2	1
323.0028	2	2	1
333.0027	2	2	0
340.0026	20	3	0
