onset	duration	trial_type	correct
0.0209	20	3	0
20.0012	2	2	1
25.0008	2	2	1
32.0008	2	2	1
39.0007	2	2	1
45.0107	2	2	0
57.0106	2	2	1
62.0106	2	2	1
66.0106	2	2	0
70.0105	2	2	1
74.0105	2	2	1
85.0104	2	2	1
92.0104	2	2	1
98.0104	2	2	0
105.0103	2	2	1
109.0103	2	2	1
115.0103	2	2	1
120.0102	2	1	1
125.0102	2	1	1
132.0101	2	1	1
139.0101	2	1	1
145.01	2	1	1
155.01	2	1	1
160.01	2	1	0
164.0099	2	1	1
170.0099	20	3	0
190.0098	2	2	1
195.0098	2	2	1
202.0098	2	2	0
206.0097	2	2	1
212.0097	2	2	1
219.0097	2	2	0
231.0096	2	2	1
235.0096	2	2	1
240.0095	2	1	0
247.0094	2	1	1
251.0094	2	1	0
263.0093	2	1	1
268.0093	2	1	1
272.0093	2	1	1
279.0092	2	1	1
284.0092	2	1	1
290.0092	2	1	1
294.0092	2	1	1
299.0091	2	1	1
305.0091	2	1	1
311.009	2	1	1
316.009	2	1	1
320.009	2	1	0
333.0089	2	1	0
340.0089	20	3	0
