onset	duration	trial_type	correct
0.021	20	3	0
19.9997	2	1	1
27.0008	2	1	1
33.0007	2	1	1
38.0107	2	1	1
42.0106	2	1	1
48.0105	2	1	1
61.0104	2	1	0
65.0104	2	1	1
70.0108	2	2	0
77.0103	2	2	1
83.0102	2	2	1
87.0102	2	2	1
94.0101	2	2	1
98.0101	2	2	0
110.01	2	2	1
115.0099	2	2	1
120.0099	2	2	0
125.0098	2	2	1
131.0097	2	2	1
138.0097	2	2	0
149.0096	2	2	0
153.0095	2	2	1
160.0094	2	2	1
166.0094	2	2	0
170.0093	20	3	0
190.0091	2	1	1
197.009	2	1	1
202.009	2	1	1
212.0089	2	1	1
219.0088	2	1	1
223.0088	2	1	0
229.0087	2	1	0
234.0086	2	1	1
240.0086	2	2	1
247.0086	2	2	1
251.0085	2	2	1
258.0084	2	2	1
268.0083	2	2	1
273.0083	2	2	1
279.0082	2	2	1
284.0082	2	2	1
290.0081	2	1	0
297.008	2	1	1
303.0079	2	1	1
309.0079	2	1	1
320.0077	2	1	1
324.0077	2	1	1
329.0077	2	1	1
336.0076	2	1	0
340.0075	20	3	0
