onset	duration	trial_type	correct
0.0279	20	3	0
20.0079	2	1	1
27.0079	2	1	1
33.0078	2	1	1
38.0078	2	1	1
42.0078	2	1	1
48.0078	2	1	1
61.0078	2	1	1
65.0077	2	1	1
70.0081	2	2	1
77.0078	2	2	1
83.0077	2	2	1
87.0077	2	2	1
94.0077	2	2	1
98.0077	2	2	1
110.0077	2	2	1
115.0076	2	2	0
120.0076	2	2	1
125.0076	2	2	1
131.0076	2	2	1
138.0076	2	2	1
149.0075	2	2	1
153.0075	2	2	1
160.0075	2	2	1
166.0075	2	2	1
170.0074	20	3	0
190.0074	2	1	1
197.0073	2	1	1
202.0073	2	1	1
212.0073	2	1	1
219.0073	2	1	1
223.0073	2	1	1
229.0072	2	1	1
234.0072	2	1	1
240.0073	2	2	1
247.0072	2	2	1
251.0072	2	2	0
258.0072	2	2	0
268.0072	2	2	1
273.0072	2	2	1
279.0071	2	2	1
284.0071	2	2	1
290.0071	2	1	1
297.007	2	1	1
303.007	2	1	1
309.007	2	1	1
320.007	2	1	1
324.0069	2	1	1
329.0069	2	1	1
336.0069	2	1	1
340.0069	20	3	0
