onset	duration	trial_type	correct
0.0261	20	3	0
20.0059	2	1	1
24.0059	2	1	1
29.0059	2	1	1
36.0058	2	1	1
40.0058	2	1	1
45.0058	2	1	1
51.0058	2	1	0
63.0057	2	1	1
70.0056	2	1	1
76.0056	2	1	1
82.0056	2	1	1
89.0055	2	1	1
93.0055	2	1	1
103.0054	2	1	1
108.0054	2	1	1
115.0054	2	1	1
120.0058	2	2	1
126.0054	2	2	1
133.0053	2	2	1
137.0053	2	2	1
141.0053	2	2	1
146.0052	2	2	1
158.0052	2	2	1
165.0051	2	2	1
170.005	20	3	0
190.005	2	2	1
194.005	2	2	1
200.0049	2	2	1
207.0049	2	2	1
213.0048	2	2	0
220.0048	2	2	1
225.0048	2	2	0
235.0047	2	2	1
240.0046	2	1	0
246.0046	2	1	0
257.0045	2	1	1
264.0045	2	1	0
270.0044	2	1	1
277.0044	2	1	1
281.0044	2	1	0
285.0044	2	1	1
290.0044	2	2	1
295.0044	2	2	1
302.0043	2	2	0
306.0043	2	2	1
312.0042	2	2	1
317.0042	2	2	1
323.0042	2	2	0
333.0041	2	2	1
340.004	20	3	0
