onset	duration	trial_type	correct
0.0268	20	3	0
20.0066	2	1	1
24.0066	2	1	1
29.0066	2	1	1
36.0065	2	1	1
40.0065	2	1	1
45.0065	2	1	1
51.0065	2	1	1
63.0064	2	1	1
70.0063	2	1	1
76.0063	2	1	1
82.0063	2	1	0
89.0062	2	1	1
93.0062	2	1	1
103.0061	2	1	1
108.0061	2	1	1
115.006	2	1	1
120.0065	2	2	1
126.0061	2	2	1
133.006	2	2	1
137.006	2	2	1
141.006	2	2	1
146.0059	2	2	1
158.0059	2	2	1
165.0058	2	2	1
170.0057	20	3	0
190.0057	2	2	1
194.0057	2	2	1
200.0056	2	2	1
207.0056	2	2	1
213.0055	2	2	1
220.0055	2	2	1
225.0055	2	2	1
235.0054	2	2	1
240.0053	2	1	1
246.0053	2	1	1
257.0052	2	1	1
264.0052	2	1	1
270.0051	2	1	1
277.0051	2	1	1
281.0051	2	1	1
285.0051	2	1	1
290.0051	2	2	1
295.005	2	2	1
302.005	2	2	1
306.005	2	2	1
312.0049	2	2	1
317.0049	2	2	1
323.0049	2	2	1
333.0048	2	2	1
340.0047	20	3	0
