onset	duration	trial_type	correct
0.0247	20	3	0
20.005	2	2	0
25.0046	2	2	1
32.0046	2	2	1
39.0045	2	2	0
45.0045	2	2	1
57.0044	2	2	1
62.0044	2	2	1
66.0044	2	2	0
70.0043	2	2	1
74.0043	2	2	0
85.0042	2	2	0
92.0042	2	2	1
98.0042	2	2	1
105.0041	2	2	1
109.0041	2	2	1
115.0041	2	2	1
120.004	2	1	0
125.004	2	1	0
132.0039	2	1	0
139.0039	2	1	0
145.0038	2	1	0
155.0038	2	1	1
160.0038	2	1	0
164.0037	2	1	1
170.0037	20	3	0
190.0036	2	2	0
195.0036	2	2	0
202.0036	2	2	0
206.0035	2	2	1
212.0035	2	2	0
219.0035	2	2	0
231.0034	2	2	0
235.0034	2	2	0
240.0033	2	1	0
247.0032	2	1	0
251.0032	2	1	0
263.0031	2	1	1
268.0031	2	1	0
272.0031	2	1	1
279.0031	2	1	1
284.003	2	1	0
290.003	2	1	0
294.003	2	1	1
299.0029	2	1	1
305.0029	2	1	1
311.0029	2	1	1
316.0028	2	1	0
320.0028	2	1	1
333.0027	2	1	1
340.0027	20	3	0
